EVENT;LINK;DATE
IFL - Connecticut 2008;/events/details/268;May. 16, 2008
DREAM 3: Lightweight Grand Prix 2008 2nd Round;/events/details/300;May. 11, 2008
DREAM 2: Middleweight Grand Prix 2008 1st Round;/events/details/299;Apr. 29, 2008
UFC 83: Serra vs. St-Pierre 2;/events/details/15;Apr. 19, 2008
UFC Fight Night 13;/events/details/16;Apr. 2, 2008
Strikeforce - Shamrock vs. Le;/events/details/250;Mar. 29, 2008
WEC 33: Marshall vs. Stann;/events/details/196;Mar. 26, 2008
DREAM 1: Lightweight Grand Prix 2008 1st Round;/events/details/298;Mar. 15, 2008
Sengoku - First Battle;/events/details/490;Mar. 5, 2008
M-1 - Slamm;/events/details/387;Mar. 2, 2008
UFC 82: Pride of a Champion;/events/details/17;Mar. 1, 2008
Strikeforce - At the Dome;/events/details/251;Feb. 23, 2008
EliteXC - Street Certified;/events/details/237;Feb. 16, 2008
WEC 32: Condit vs. Prater;/events/details/197;Feb. 13, 2008
UFC 81: Breaking Point;/events/details/18;Feb. 2, 2008
Strikeforce - Young Guns 2;/events/details/252;Feb. 1, 2008
HCF - Destiny;/events/details/385;Feb. 1, 2008
EliteXC - ShoXC 4;/events/details/238;Jan. 25, 2008
UFC Fight Night 12;/events/details/19;Jan. 23, 2008
UFC 80: Rapid Fire;/events/details/20;Jan. 19, 2008
Yarrenoka! - New Year's Eve 2007;/events/details/389;Dec. 31, 2007
K-1 Dynamite!! 2007;/events/details/519;Dec. 31, 2007
UFC 79: Nemesis;/events/details/21;Dec. 29, 2007
WEC 31: Faber vs. Curran;/events/details/198;Dec. 12, 2007
UFC - TUF 6 Finale;/events/details/22;Dec. 8, 2007
Fury FC 5: Final Conflict;/events/details/376;Dec. 6, 2007
UFC 78: Validation;/events/details/23;Nov. 17, 2007
Strikeforce - Four Men Enter, One Man Survives;/events/details/253;Nov. 16, 2007
EliteXC - Renegade;/events/details/239;Nov. 10, 2007
IFL - World Grand Prix Semifinals;/events/details/272;Nov. 3, 2007
K-1 Hero's Korea 2007;/events/details/505;Oct. 28, 2007
UFC 77: Hostile Territory;/events/details/24;Oct. 20, 2007
HCF - Title Wave;/events/details/386;Oct. 19, 2007
Strikeforce - Playboy Mansion;/events/details/254;Sep. 29, 2007
Cage Rage 23: Unbelievable;/events/details/418;Sep. 22, 2007
UFC 76: Knockout;/events/details/25;Sep. 22, 2007
IFL - 2007 Team Championship Final;/events/details/273;Sep. 20, 2007
UFC Fight Night 11;/events/details/26;Sep. 19, 2007
K-1 Hero's 10;/events/details/469;Sep. 17, 2007
EliteXC - Uprising;/events/details/241;Sep. 15, 2007
UFC 75: Champion vs. Champion;/events/details/27;Sep. 8, 2007
WEC 30: McCullough vs. Crunkilton;/events/details/199;Sep. 5, 2007
UFC 74: Respect;/events/details/28;Aug. 25, 2007
WEC 29: Condit vs. Larson;/events/details/200;Aug. 5, 2007
Fury FC 4: High Voltage;/events/details/375;Aug. 4, 2007
IFL - 2007 Semifinals;/events/details/274;Aug. 2, 2007
EliteXC - ShoXC 1;/events/details/243;Jul. 27, 2007
UFC 73: Stacked;/events/details/29;Jul. 7, 2007
K-1 - World GP 2007 in Amsterdam;/events/details/470;Jun. 23, 2007
UFC - TUF 5 Finale;/events/details/30;Jun. 23, 2007
Strikeforce - Shamrock vs. Baroni;/events/details/255;Jun. 22, 2007
UFC 72: Victory;/events/details/31;Jun. 16, 2007
UFC Fight Night 10;/events/details/32;Jun. 12, 2007
WEC 28: Faber vs. Farrar;/events/details/201;Jun. 3, 2007
K-1 Dynamite!! USA;/events/details/318;Jun. 2, 2007
TKO 29;/events/details/334;Jun. 1, 2007
UFC 71: Liddell vs. Jackson;/events/details/33;May. 26, 2007
WEC 27: Marshall vs. McElfresh;/events/details/202;May. 12, 2007
UFC 70: Nations Collide;/events/details/34;Apr. 21, 2007
Cage Rage 21: Judgement Day;/events/details/419;Apr. 21, 2007
BodogFight - Clash of Nations;/events/details/366;Apr. 14, 2007
PRIDE 34: Kamikaze;/events/details/123;Apr. 8, 2007
IFL - Moline;/events/details/279;Apr. 7, 2007
UFC 69: Shootout;/events/details/35;Apr. 7, 2007
UFC Fight Night 9;/events/details/36;Apr. 5, 2007
WEC 26: Condit vs. Alessio;/events/details/203;Mar. 24, 2007
K-1 Hero's 8;/events/details/520;Mar. 12, 2007
Floripa Fight 4;/events/details/381;Mar. 10, 2007
UFC 68: The Uprising;/events/details/37;Mar. 3, 2007
Pancrase - Rising 2;/events/details/340;Feb. 28, 2007
PRIDE 33: The Second Coming;/events/details/124;Feb. 24, 2007
BodogFight - Costa Rica 2/18;/events/details/488;Feb. 18, 2007
Shooto - Back to Our Roots 1;/events/details/341;Feb. 17, 2007
EliteXC - Destiny;/events/details/244;Feb. 10, 2007
Strikeforce - Young Guns;/events/details/256;Feb. 10, 2007
UFC 67: All or Nothing;/events/details/38;Feb. 3, 2007
UFC Fight Night 8;/events/details/39;Jan. 25, 2007
WEC 25: McCullough vs. Cope;/events/details/204;Jan. 20, 2007
PRIDE Shockwave 2006;/events/details/125;Dec. 31, 2006
K-1 Dynamite!! 2006;/events/details/506;Dec. 31, 2006
UFC 66: Liddell vs. Ortiz 2;/events/details/40;Dec. 30, 2006
IFL - Championship Final;/events/details/284;Dec. 29, 2006
BodogFight - St. Petersburg;/events/details/421;Dec. 16, 2006
UFC Fight Night 7;/events/details/41;Dec. 13, 2006
Strikeforce - Triple Threat;/events/details/257;Dec. 8, 2006
Fury FC 2;/events/details/374;Nov. 30, 2006
Storm Samurai 12;/events/details/382;Nov. 25, 2006
UFC 65: Bad Intentions;/events/details/42;Nov. 18, 2006
2H2H - Pride & Honor;/events/details/472;Nov. 12, 2006
UFC - TUF 4 Finale;/events/details/43;Nov. 11, 2006
Show Fight 5;/events/details/378;Nov. 9, 2006
PRIDE Bushido 13;/events/details/126;Nov. 5, 2006
PRIDE 32: The Real Deal;/events/details/127;Oct. 21, 2006
Shooto - Champion Carnival;/events/details/342;Oct. 14, 2006
UFC 64: Unstoppable;/events/details/44;Oct. 14, 2006
WEC 24: Full Force;/events/details/205;Oct. 12, 2006
UFC Fight Night - The Final Chapter;/events/details/45;Oct. 10, 2006
K-1 Hero's 7;/events/details/509;Oct. 9, 2006
Strikeforce - Tank vs. Buentello;/events/details/258;Oct. 7, 2006
Fury FC 1;/events/details/373;Sep. 27, 2006
IFL - Gracie vs. Miletich;/events/details/286;Sep. 23, 2006
UFC 63: Hughes vs. Penn;/events/details/46;Sep. 23, 2006
WPFC 1;/events/details/438;Sep. 15, 2006
PRIDE Final Conflict Absolute;/events/details/128;Sep. 10, 2006
PRIDE Bushido 12;/events/details/129;Aug. 27, 2006
UFC 62: Liddell vs. Sobral;/events/details/47;Aug. 26, 2006
UFC Fight Night 6;/events/details/48;Aug. 17, 2006
WEC 23: Hot August Fights;/events/details/206;Aug. 17, 2006
K-1 Hero's 6;/events/details/510;Aug. 5, 2006
WEC 22: The Hitmen;/events/details/207;Jul. 28, 2006
WFA - King of the Streets;/events/details/360;Jul. 22, 2006
UFC 61: Bitter Rivals;/events/details/49;Jul. 8, 2006
PRIDE Critical Countdown Absolute;/events/details/130;Jul. 1, 2006
UFC Fight Night 5;/events/details/50;Jun. 28, 2006
UFC - TUF 3 Finale;/events/details/51;Jun. 24, 2006
WEC 21: Tapout;/events/details/208;Jun. 15, 2006
WEF 6/10;/events/details/439;Jun. 10, 2006
Strikeforce - Revenge;/events/details/259;Jun. 9, 2006
PRIDE Bushido 11;/events/details/131;Jun. 4, 2006
UFC 60: Hughes vs. Gracie;/events/details/52;May. 27, 2006
PRIDE Total Elimination Absolute;/events/details/132;May. 5, 2006
WEC 20: Cinco de Mayhem;/events/details/209;May. 5, 2006
K-1 Hero's 5;/events/details/511;May. 3, 2006
Jungle Fight 6;/events/details/369;Apr. 29, 2006
IFL - Legends Championship 2006;/events/details/289;Apr. 29, 2006
Cage Rage 16: Critical Condition;/events/details/337;Apr. 22, 2006
ROTR 9;/events/details/489;Apr. 21, 2006
UFC 59: Reality Check;/events/details/53;Apr. 15, 2006
UFC Fight Night 4;/events/details/54;Apr. 6, 2006
PRIDE Bushido 10;/events/details/133;Apr. 2, 2006
WCFC - No Guts, No Glory;/events/details/471;Mar. 18, 2006
WEC 19: Undisputed;/events/details/210;Mar. 17, 2006
K-1 Hero's 4;/events/details/512;Mar. 15, 2006
Strikeforce - Shamrock vs. Gracie;/events/details/260;Mar. 10, 2006
UFC 58: USA vs. Canada;/events/details/55;Mar. 4, 2006
PRIDE 31: Unbreakable;/events/details/134;Feb. 26, 2006
UFC 57: Liddell vs. Couture 3;/events/details/56;Feb. 4, 2006
ROTR 8;/events/details/363;Jan. 20, 2006
UFC Fight Night 3;/events/details/57;Jan. 16, 2006
WEC 18: Unfinished Business;/events/details/211;Jan. 13, 2006
PRIDE Shockwave 2005;/events/details/135;Dec. 31, 2005
Cage Rage 14: Punishment;/events/details/336;Dec. 3, 2005
