EVENT;FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;ROUND;TIME;DATE
UFC 114: Jackson vs. Evans;Jesse Forbes;Ryan Jensen;SUB;Guillotine Choke;1;1:06;May. 29, 2010
UFC 115: Liddell vs. Franklin;Chuck Liddell;Rich Franklin;KO/TKO;Punch;1;4:55;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Pat Barry;Mirko Filipovic;SUB;Rear Naked Choke;3;4:30;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Paulo Thiago;Martin Kampmann;U. DEC;;3;5:00;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Gilbert Yvel;Ben Rothwell;U. DEC;;3;5:00;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Rory MacDonald;Carlos Condit;KO/TKO;Punches;3;4:53;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Tyson Griffin;Evan Dunham;S. DEC;;3;5:00;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Mac Danzig;Matt Wiman;SUB;Guillotine Choke;1;1:45;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;David Loiseau;Mario Miranda;KO/TKO;Elbows;2;4:07;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Peter Sobotta;James Wilks;U. DEC;;3;5:00;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Ricardo Funch;Claude Patrick;SUB;Guillotine Choke;2;1:48;Jun. 12, 2010
UFC 115: Liddell vs. Franklin;Jesse Lennox;Mike Pyle;SUB;Triangle Choke;3;4:44;Jun. 12, 2010
UFC 116: Lesnar vs. Carwin;Shane Carwin;Brock Lesnar;SUB;Arm Triangle;2;2:19;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Yoshihiro Akiyama;Chris Leben;SUB;Triangle Choke;3;4:40;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Matt Brown;Chris Lytle;SUB;Armbar;2;2:02;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Krzysztof Soszynski;Stephan Bonnar;KO/TKO;Punches;2;3:08;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Kurt Pellegrino;George Sotiropoulos;U. DEC;;3;5:00;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Chris Tuchscherer;Brendan Schaub;KO/TKO;Punch;1;1:07;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Seth Petruzelli;Ricardo Romero;SUB;Armbar;2;3:05;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Goran Reljic;Kendall Grove;S. DEC;;3;5:00;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Dave Branch;Gerald Harris;KO/TKO;Slam;3;2:35;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Forrest Petz;Daniel Roberts;S. DEC;;3;5:00;Jul. 3, 2010
UFC 116: Lesnar vs. Carwin;Karlos Vemola;Jon Madsen;U. DEC;;3;5:00;Jul. 3, 2010
UFC 117: Silva vs. Sonnen;Chael Sonnen;Anderson Silva;SUB;Triangle Choke;5;3:10;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Thiago Alves;Jon Fitch;U. DEC;;3;5:00;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Rafael dos Anjos;Clay Guida;SUB;Injury;3;1:51;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Ricardo Almeida;Matt Hughes;SUB;Arm Triangle;1;3:15;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Roy Nelson;Junior Dos Santos;U. DEC;;3;5:00;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Dustin Hazelett;Rick Story;KO/TKO;Punches;2;1:15;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Rodney Wallace;Phil Davis;U. DEC;;3;5:00;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Charlie Brenneman;Johny Hendricks;KO/TKO;Punches;2;0:40;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Todd Brown;Tim Boetsch;U. DEC;;3;5:00;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Christian Morecraft;Stefan Struve;KO/TKO;Punch;2;0:22;Aug. 7, 2010
UFC 117: Silva vs. Sonnen;Ben Saunders;Dennis Hallman;U. DEC;;3;5:00;Aug. 7, 2010
UFC 118: Edgar vs. Penn 2;BJ Penn;Frankie Edgar;U. DEC;;5;5:00;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;James Toney;Randy Couture;SUB;Arm Triangle;1;3:19;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Mario Miranda;Demian Maia;U. DEC;;3;5:00;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Kenny Florian;Gray Maynard;U. DEC;;3;5:00;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Marcus Davis;Nate Diaz;SUB;Guillotine Choke;3;4:02;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Gabe Ruediger;Joe Lauzon;SUB;Armbar;1;2:01;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Andre Winner;Nik Lentz;U. DEC;;3;5:00;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;John Salter;Dan Miller;SUB;Guillotine Choke;2;1:53;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Nick Osipczak;Greg Soto;U. DEC;;3;5:00;Aug. 28, 2010
UFC 118: Edgar vs. Penn 2;Amilcar Alves;Mike Pierce;SUB;Armbar;3;3:11;Aug. 28, 2010
UFC 119: Mir vs. Cro Cop;Mirko Filipovic;Frank Mir;KO/TKO;Knee;3;4:02;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Antonio Rogerio Nogueira;Ryan Bader;U. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Matt Serra;Chris Lytle;U. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Evan Dunham;Sean Sherk;S. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Jeremy Stephens;Melvin Guillard;S. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Joe Doerksen;CB Dollaway;SUB;Guillotine Choke;1;2:13;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Joey Beltran;Matt Mitrione;U. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Pat Audinwood;Thiago Tavares;SUB;Guillotine Choke;1;3:47;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Steve Lopez;Waylon Lowe;S. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Julio Paulino;TJ Grant;U. DEC;;3;5:00;Sep. 25, 2010
UFC 119: Mir vs. Cro Cop;Mark Hunt;Sean McCorkle;SUB;Armbar;1;1:03;Sep. 25, 2010
UFC 11: The Proving Ground;David Abbott;Scott Ferrozzo;U. DEC;;2;3:00;Sep. 20, 1996
UFC 11: The Proving Ground;Brian Johnston;Mark Coleman;SUB;Strikes;1;2:20;Sep. 20, 1996
UFC 11: The Proving Ground;Fabio Gurgel;Jerry Bohlander;U. DEC;;1;15:00;Sep. 20, 1996
UFC 11: The Proving Ground;Sam Adkins;David Abbott;SUB;Forearm Choke;1;2:06;Sep. 20, 1996
UFC 11: The Proving Ground;Reza Nasri;Brian Johnston;KO/TKO;Punches;1;0:28;Sep. 20, 1996
UFC 11: The Proving Ground;Julian Sanchez;Mark Coleman;SUB;Neck Crank;1;0:45;Sep. 20, 1996
UFC 11: The Proving Ground;Dave Berry;Roberto Traven;SUB;Strikes;1;1:33;Sep. 20, 1996
UFC 11: The Proving Ground;Sam Fulton;Scott Ferrozzo;SUB;Strikes;1;1:45;Sep. 20, 1996
UFC 120: Bisping vs. Akiyama;Yoshihiro Akiyama;Michael Bisping;U. DEC;;3;5:00;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;Dan Hardy;Carlos Condit;KO/TKO;Punch;1;4:27;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;John Hathaway;Mike Pyle;U. DEC;;3;5:00;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;Cheick Kongo;Travis Browne;U. DEC;;3;5:00;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;James Wilks;Claude Patrick;U. DEC;;3;5:00;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;Cyrille Diabate;Alexander Gustafsson;SUB;Rear Naked Choke;2;2:41;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;Vinicius Queiroz;Rob Broughton;SUB;Rear Naked Choke;3;1:43;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;Mark Holst;Paul Sass;SUB;Triangle Choke;1;4:45;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;Curt Warburton;Spencer Fisher;U. DEC;;3;5:00;Oct. 16, 2010
UFC 120: Bisping vs. Akiyama;James McSweeney;Fabio Maldonado;KO/TKO;Punches;3;0:48;Oct. 16, 2010
UFC 121: Lesnar vs. Velasquez;Brock Lesnar;Cain Velasquez;KO/TKO;Punches;1;4:12;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Martin Kampmann;Jake Shields;S. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Paulo Thiago;Diego Sanchez;U. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Tito Ortiz;Matt Hamill;U. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Gabriel Gonzaga;Brendan Schaub;U. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Ryan Jensen;Court McGee;SUB;Arm Triangle;3;1:21;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Patrick Cote;Tom Lawlor;U. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Mike Guymon;Daniel Roberts;SUB;Anaconda Choke;1;1:13;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Paul Taylor;Sam Stout;S. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Dongi Yang;Chris Camozzi;S. DEC;;3;5:00;Oct. 23, 2010
UFC 121: Lesnar vs. Velasquez;Gilbert Yvel;Jon Madsen;KO/TKO;Punches;1;1:48;Oct. 23, 2010
UFC 122: Marquardt vs. Okami;Nate Marquardt;Yushin Okami;U. DEC;;3;5:00;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Andre Winner;Dennis Siver;SUB;Rear Naked Choke;1;3:37;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Peter Sobotta;Amir Sadollah;U. DEC;;3;5:00;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Goran Reljic;Krzysztof Soszynski;U. DEC;;3;5:00;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Nick Osipczak;Duane Ludwig;S. DEC;;3;5:00;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Alexandre Ferreira;Vladimir Matyushenko;KO/TKO;Elbows;1;2:20;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Mark Scanlon;Pascal Krauss;U. DEC;;3;5:00;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Rob Kimmons;Kyle Noke;SUB;Rear Naked Choke;2;1:33;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Seth Petruzelli;Karlos Vemola;KO/TKO;Punches;1;3:46;Nov. 13, 2010
UFC 122: Marquardt vs. Okami;Kris McCray;Carlos Eduardo Rocha;SUB;Kneebar;1;2:21;Nov. 13, 2010
UFC 123: Rampage vs. Machida;Lyoto Machida;Quinton Jackson;S. DEC;;3;5:00;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Matt Hughes;BJ Penn;KO/TKO;Punch;1;0:21;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Gerald Harris;Maiquel Falcao;U. DEC;;3;5:00;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Tim Boetsch;Phil Davis;SUB;Kimura;2;2:55;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Joe Lauzon;George Sotiropoulos;SUB;Kimura;2;2:43;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Matt Brown;Brian Foster;SUB;Guillotine Choke;2;2:11;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Aaron Simpson;Mark Munoz;U. DEC;;3;5:00;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Karo Parisyan;Dennis Hallman;KO/TKO;Punches;1;1:47;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Mike Lullo;Edson Barboza;KO/TKO;Kicks;3;0:26;Nov. 20, 2010
UFC 123: Rampage vs. Machida;TJ O'Brien;Paul Kelly;KO/TKO;Elbows;2;3:16;Nov. 20, 2010
UFC 123: Rampage vs. Machida;Tyson Griffin;Nik Lentz;S. DEC;;3;5:00;Nov. 20, 2010
UFC 124: St. Pierre vs. Koscheck 2;Josh Koscheck;Georges St-Pierre;U. DEC;;5;5:00;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Sean McCorkle;Stefan Struve;KO/TKO;Punches;1;3:55;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Charles Oliveira;Jim Miller;SUB;Kneebar;1;1:59;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Joe Stevenson;Mac Danzig;KO/TKO;Punch;1;1:54;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;John Howard;Thiago Alves;U. DEC;;3;5:00;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Joe Doerksen;Dan Miller;S. DEC;;3;5:00;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Dustin Hazelett;Mark Bocek;SUB;Triangle Choke;1;2:33;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Jesse Bongfeldt;Rafael Natal;M. DEC;;3;5:00;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Matthew Riddle;Sean Pierson;U. DEC;;3;5:00;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;TJ Grant;Ricardo Almeida;U. DEC;;3;5:00;Dec. 11, 2010
UFC 124: St. Pierre vs. Koscheck 2;Pat Audinwood;John Makdessi;U. DEC;;3;5:00;Dec. 11, 2010
UFC 125: Resolution;Frankie Edgar;Gray Maynard;S. DEC;;5;5:00;Jan. 1, 2011
UFC 125: Resolution;Chris Leben;Brian Stann;KO/TKO;Knee;1;3:37;Jan. 1, 2011
UFC 125: Resolution;Brandon Vera;Thiago Silva;Overturned;Failed Drug Test by Si...;3;5:00;Jan. 1, 2011
UFC 125: Resolution;Nate Diaz;Dong Hyun Kim;U. DEC;;3;5:00;Jan. 1, 2011
UFC 125: Resolution;Takanori Gomi;Clay Guida;SUB;Guillotine Choke;2;4:27;Jan. 1, 2011
UFC 125: Resolution;Marcus Davis;Jeremy Stephens;KO/TKO;Punch;3;2:33;Jan. 1, 2011
UFC 125: Resolution;Josh Grispi;Dustin Poirier;U. DEC;;3;5:00;Jan. 1, 2011
UFC 125: Resolution;Phil Baroni;Brad Tavares;KO/TKO;Punches;1;4:20;Jan. 1, 2011
UFC 125: Resolution;Mike Brown;Diego Nunes;S. DEC;;3;5:00;Jan. 1, 2011
UFC 125: Resolution;Greg Soto;Daniel Roberts;SUB;Kimura;1;3:45;Jan. 1, 2011
UFC 125: Resolution;Antonio McKee;Jacob Volkmann;S. DEC;;3;5:00;Jan. 1, 2011
UFC 126: Silva vs. Belfort;Vitor Belfort;Anderson Silva;KO/TKO;Kick;1;3:25;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Rich Franklin;Forrest Griffin;U. DEC;;3;5:00;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Ryan Bader;Jon Jones;SUB;Guillotine Choke;2;4:20;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Carlos Eduardo Rocha;Jake Ellenberger;S. DEC;;3;5:00;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Antonio Banuelos;Miguel Torres;U. DEC;;3;5:00;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Paul Kelly;Donald Cerrone;SUB;Rear Naked Choke;2;3:48;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Michihiro Omigawa;Chad Mendes;U. DEC;;3;5:00;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Norifumi Yamamoto;Demetrious Johnson;U. DEC;;3;5:00;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Gabe Ruediger;Paul Taylor;KO/TKO;Kick;2;1:42;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Ricardo Romero;Kyle Kingsbury;KO/TKO;Punch;1;0:21;Feb. 5, 2011
UFC 126: Silva vs. Belfort;Kenny Robertson;Mike Pierce;KO/TKO;Punches;2;0:29;Feb. 5, 2011
UFC 127: Penn vs. Fitch;BJ Penn;Jon Fitch;M. DEC;;3;5:00;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Jorge Rivera;Michael Bisping;KO/TKO;Punches;2;1:54;Feb. 26, 2011
UFC 127: Penn vs. Fitch;George Sotiropoulos;Dennis Siver;U. DEC;;3;5:00;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Chris Lytle;Brian Ebersole;U. DEC;;3;5:00;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Chris Camozzi;Kyle Noke;SUB;Rear Naked Choke;1;1:35;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Spencer Fisher;Ross Pearson;U. DEC;;3;5:00;Feb. 26, 2011
UFC 127: Penn vs. Fitch;James Te Huna;Alexander Gustafsson;SUB;Rear Naked Choke;1;4:27;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Riki Fukuda;Nick Ring;U. DEC;;3;5:00;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Tom Blackledge;Anthony Perosh;SUB;Rear Naked Choke;1;2:45;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Jason Reinhardt;Tiequan Zhang;SUB;Guillotine Choke;1;0:48;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Chris Tuchscherer;Mark Hunt;KO/TKO;Punch;2;1:41;Feb. 26, 2011
UFC 127: Penn vs. Fitch;Maciej Jewtuszko;Curt Warburton;U. DEC;;3;5:00;Feb. 26, 2011
UFC 128: Shogun vs. Jones;Mauricio Rua;Jon Jones;KO/TKO;Knee;3;2:37;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Eddie Wineland;Urijah Faber;U. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Kamal Shalorus;Jim Miller;KO/TKO;Knee;3;2:15;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Dan Miller;Nate Marquardt;U. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Mirko Filipovic;Brendan Schaub;KO/TKO;Punch;3;3:44;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Eliot Marshall;Luiz Cane;KO/TKO;Punches;1;2:15;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Anthony Njokuani;Edson Barboza;U. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Ricardo Almeida;Mike Pyle;U. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Kurt Pellegrino;Gleison Tibau;S. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Ian Loveland;Joseph Benavidez;U. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Constantinos Philippou;Nick Catone;U. DEC;;3;5:00;Mar. 19, 2011
UFC 128: Shogun vs. Jones;Raphael Assuncao;Erik Koch;KO/TKO;Punch;1;2:32;Mar. 19, 2011
UFC 129: St-Pierre vs. Shields;Jake Shields;Georges St-Pierre;U. DEC;;5;5:00;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Mark Hominick;Jose Aldo;U. DEC;;5;5:00;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Randy Couture;Lyoto Machida;KO/TKO;Kick;2;1:05;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Jason Brilz;Vladimir Matyushenko;KO/TKO;Punch;1;0:20;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Mark Bocek;Benson Henderson;U. DEC;;3;5:00;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Nate Diaz;Rory MacDonald;U. DEC;;3;5:00;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Sean Pierson;Jake Ellenberger;KO/TKO;Punch;1;2:42;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Daniel Roberts;Claude Patrick;U. DEC;;3;5:00;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Charlie Valencia;Ivan Menjivar;KO/TKO;Elbow;1;1:30;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Ryan Jensen;Jason MacDonald;SUB;Triangle Choke;1;1:37;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Kyle Watson;John Makdessi;KO/TKO;Spinning Back Fist;3;1:27;Apr. 30, 2011
UFC 129: St-Pierre vs. Shields;Yves Jabouin;Pablo Garza;SUB;Triangle Choke;1;4:31;Apr. 30, 2011
UFC 12: Judgement Day;Dan Severn;Mark Coleman;SUB;Neck Crank;1;2:57;Feb. 7, 1997
UFC 12: Judgement Day;Scott Ferrozzo;Vitor Belfort;KO/TKO;Punches;1;0:43;Feb. 7, 1997
UFC 12: Judgement Day;Nick Sanzo;Jerry Bohlander;SUB;Other - Lock;1;0:39;Feb. 7, 1997
UFC 12: Judgement Day;Tra Telligman;Vitor Belfort;SUB;Strikes;1;1:17;Feb. 7, 1997
UFC 12: Judgement Day;Jim Mullen;Scott Ferrozzo;KO/TKO;Knees;1;8:02;Feb. 7, 1997
UFC 12: Judgement Day;Wallid Ismail;Yoshiki Takahashi;U. DEC;;2;3:00;Feb. 7, 1997
UFC 12: Judgement Day;Rainy Martinez;Jerry Bohlander;SUB;Rear Naked Choke;1;1:24;Feb. 7, 1997
UFC 12: Judgement Day;Eric Martin;Justin Martin;SUB;Heel Hook;1;0:14;Feb. 7, 1997
UFC 12: Judgement Day;Jackie Lee;Nick Sanzo;KO/TKO;;1;0:48;Feb. 7, 1997
UFC 130: Rampage vs. Hamill;Matt Hamill;Quinton Jackson;U. DEC;;3;5:00;May. 28, 2011
UFC 130: Rampage vs. Hamill;Roy Nelson;Frank Mir;U. DEC;;3;5:00;May. 28, 2011
UFC 130: Rampage vs. Hamill;Stefan Struve;Travis Browne;KO/TKO;Punch;1;4:11;May. 28, 2011
UFC 130: Rampage vs. Hamill;Thiago Alves;Rick Story;U. DEC;;3;5:00;May. 28, 2011
UFC 130: Rampage vs. Hamill;Jorge Santiago;Brian Stann;KO/TKO;Punch;2;4:29;May. 28, 2011
UFC 130: Rampage vs. Hamill;Miguel Torres;Demetrious Johnson;U. DEC;;3;5:00;May. 28, 2011
UFC 130: Rampage vs. Hamill;Kendall Grove;Tim Boetsch;U. DEC;;3;5:00;May. 28, 2011
UFC 130: Rampage vs. Hamill;Rafaello Oliveira;Gleison Tibau;SUB;Rear Naked Choke;2;3:28;May. 28, 2011
UFC 130: Rampage vs. Hamill;Chris Cariaso;Michael McDonald;S. DEC;;3;5:00;May. 28, 2011
UFC 130: Rampage vs. Hamill;Cole Escovedo;Renan Barao;U. DEC;;3;5:00;May. 28, 2011
UFC 131: Dos Santos vs. Carwin;Shane Carwin;Junior Dos Santos;U. DEC;;3;5:00;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Diego Nunes;Kenny Florian;U. DEC;;3;5:00;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Demian Maia;Mark Munoz;U. DEC;;3;5:00;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Jon Olav Einemo;Dave Herman;KO/TKO;Punches;2;3:19;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Vagner Rocha;Donald Cerrone;U. DEC;;3;5:00;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Yves Edwards;Sam Stout;KO/TKO;Punch;1;3:52;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Jesse Bongfeldt;Chris Weidman;SUB;Guillotine Choke;1;4:54;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Mike Massenzio;Krzysztof Soszynski;U. DEC;;3;5:00;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;James Head;Nick Ring;SUB;Rear Naked Choke;3;3:33;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Jason Young;Dustin Poirier;U. DEC;;3;5:00;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Aaron Rosa;Joey Beltran;KO/TKO;Punches;3;1:26;Jun. 11, 2011
UFC 131: Dos Santos vs. Carwin;Michihiro Omigawa;Darren Elkins;U. DEC;;3;5:00;Jun. 11, 2011
UFC 132: Cruz vs. Faber;Urijah Faber;Dominick Cruz;U. DEC;;5;5:00;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Wanderlei Silva;Chris Leben;KO/TKO;Punches;1;0:27;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Matt Wiman;Dennis Siver;U. DEC;;3;5:00;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Ryan Bader;Tito Ortiz;SUB;Guillotine Choke;1;1:56;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Dong Hyun Kim;Carlos Condit;KO/TKO;Flying Knee;1;2:58;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Shane Roller;Melvin Guillard;KO/TKO;Punch;1;2:12;Jul. 2, 2011
UFC 132: Cruz vs. Faber;George Sotiropoulos;Rafael dos Anjos;KO/TKO;Punch;1;0:59;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Takeya Mizugaki;Brian Bowles;U. DEC;;3;5:00;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Brad Tavares;Aaron Simpson;U. DEC;;3;5:00;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Andre Winner;Anthony Njokuani;U. DEC;;3;5:00;Jul. 2, 2011
UFC 132: Cruz vs. Faber;Donny Walker;Jeff Hougland;U. DEC;;3;5:00;Jul. 2, 2011
UFC 133: Evans vs. Ortiz 2;Tito Ortiz;Rashad Evans;KO/TKO;Knee;2;4:48;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Yoshihiro Akiyama;Vitor Belfort;KO/TKO;Punches;1;1:52;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Dennis Hallman;Brian Ebersole;KO/TKO;Elbows;1;4:28;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Jorge Rivera;Constantinos Philippou;S. DEC;;3;5:00;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Mike Pyle;Rory MacDonald;KO/TKO;Punches;1;3:54;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Matt Hamill;Alexander Gustafsson;KO/TKO;Punches;2;3:34;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Rani Yahya;Chad Mendes;U. DEC;;3;5:00;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Nick Pace;Ivan Menjivar;U. DEC;;3;5:00;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Mike Pierce;Johny Hendricks;S. DEC;;3;5:00;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Nam Phan;Mike Brown;U. DEC;;3;5:00;Aug. 6, 2011
UFC 133: Evans vs. Ortiz 2;Paul Bradley;Rafael Natal;U. DEC;;3;5:00;Aug. 6, 2011
