FIGHTER_LOSE;FIGHTER_WIN;METHOD;METHOD_DESC;PASS_LOSE;PASS_WIN;ROUND;STR_LOSE;STR_WIN;SUB_LOSE;SUB_WIN;TD_LOSE;TD_WIN;DATE
1229;136;0;43;0.0;2.0;2;21.0;30.0;4.0;1.0;1.0;1.0;2008-04-10 00:00:00
706;991;0;43;7.0;2.0;3;36.0;35.0;3.0;2.0;5.0;2.0;2008-05-31 00:00:00
1317;823;0;43;0.0;0.0;1;3.0;10.0;0.0;2.0;1.0;0.0;2008-05-31 00:00:00
866;188;0;43;0.0;0.0;1;4.0;9.0;0.0;0.0;0.0;0.0;2008-05-31 00:00:00
148;991;1;52;0.0;0.0;1;1.0;4.0;0.0;0.0;0.0;0.0;2007-10-11 00:00:00
1200;695;1;44;0.0;5.0;1;4.0;2.0;1.0;1.0;0.0;3.0;2007-10-11 00:00:00
870;111;1;44;0.0;3.0;1;0.0;23.0;0.0;2.0;0.0;0.0;2007-10-11 00:00:00
1773;942;0;10;0.0;0.0;1;4.0;9.0;0.0;0.0;0.0;0.0;2008-06-14 00:00:00
1226;1251;0;43;0.0;5.0;3;31.0;76.0;0.0;2.0;0.0;2.0;2008-06-14 00:00:00
1655;1229;0;43;0.0;2.0;1;2.0;41.0;0.0;0.0;0.0;0.0;2008-06-14 00:00:00
1424;396;0;43;1.0;1.0;1;8.0;25.0;0.0;0.0;2.0;0.0;2008-06-14 00:00:00
1721;1330;0;43;0.0;0.0;1;2.0;29.0;0.0;0.0;0.0;1.0;2008-06-14 00:00:00
493;942;0;30;1.0;0.0;3;20.0;52.0;1.0;0.0;4.0;0.0;2007-07-27 00:00:00
1483;1296;0;8;0.0;0.0;1;1.0;9.0;0.0;0.0;2.0;0.0;2008-01-25 00:00:00
402;991;0;43;0.0;0.0;1;1.0;13.0;0.0;0.0;0.0;0.0;2008-02-16 00:00:00
493;1773;0;30;1.0;2.0;1;7.0;23.0;1.0;0.0;1.0;0.0;2008-02-16 00:00:00
835;1330;0;30;0.0;0.0;1;8.0;24.0;0.0;0.0;0.0;0.0;2008-02-16 00:00:00
706;188;0;43;1.0;0.0;1;7.0;13.0;0.0;0.0;2.0;0.0;2008-02-16 00:00:00
1506;1402;0;30;0.0;0.0;2;18.0;43.0;0.0;0.0;0.0;0.0;2008-07-26 00:00:00
1616;1251;0;43;0.0;0.0;2;28.0;68.0;0.0;1.0;1.0;0.0;2008-07-26 00:00:00
1260;695;1;19;0.0;3.0;1;0.0;1.0;0.0;1.0;0.0;1.0;2008-07-26 00:00:00
1541;343;0;43;0.0;1.0;2;7.0;52.0;1.0;0.0;0.0;0.0;2008-07-26 00:00:00
929;111;0;43;0.0;0.0;2;8.0;34.0;0.0;0.0;0.0;1.0;2008-07-26 00:00:00
1670;1330;0;33;0.0;1.0;1;13.0;15.0;0.0;0.0;0.0;1.0;2008-07-26 00:00:00
