AK&M;Fitch Ratings;Moody's;S&P;and;bank;capital;day_term;dep_name;min_amount;payments_daily;payments_end;payments_monthly;payments_section;profit;rate;refill;spec_deposit;HPA;RUS-Rating;ExpertRA
;AA+(rus);;ruAA+;;Альфа-Банк;;365.0;«Линия жизни»;50000.0;;;1.0;;7600.0;7.6;;1.0;AAA;AAA;
;;Aa3.ru;ruAA-;;Возрождение;1.0;367.0;«Возрождение - Доходный с ежемесячными выплатами»;100000.0;;;1.0;;7915.0;7.6;1.0;0.0;;AA;
;AA-(rus);;ruAA-;;Глобэкс;;367.0;«Накопительный»;100000.0;;1.0;;;7642.0;7.6;1.0;0.0;;;
;;Aa3.ru;ruAA-;1.0;Возрождение;1.0;365.0;«Комфортный »;3000.0;;;1.0;;7763.0;7.5;;0.0;;AA;
;A-(rus);;;;МТС-Банк;;366.0;«Корпоративный»;5000.0;;1.0;;;7521.0;7.5;1.0;1.0;;AA-;
;A+(rus);Aa3.ru;;;НОМОС-Банк;1.0;365.0;«Номос - накопительный»;10000.0;;;1.0;;7763.0;7.5;1.0;0.0;AAA;AA;
;A+(rus);;;;Зенит;;366.0;«Детский»;15000.0;;1.0;;;7521.0;7.5;1.0;1.0;;AA-;
;;Baa1.ru;;;Росгосстрах Банк;1.0;367.0;«Мультивалютный»;30000.0;;;1.0;;7808.0;7.5;1.0;0.0;;;A
;;;ruAA;;Промсвязьбанк;;367.0;«Моя выгода»;50000.0;;1.0;;;7541.0;7.5;;0.0;AA+;AA-;
A+;;Baa3.ru;;1.0;Татфондбанк;;367.0;«Вклад для тех, кто управляет»;100000.0;;1.0;;;7541.0;7.5;;1.0;;;A
;AA-(rus);;ruAA-;1.0;Глобэкс;1.0;367.0;«Рантье»;100000.0;;;1.0;;7808.0;7.5;;0.0;;;
;A+(rus);Aa3.ru;;;Кредит Европа Банк;;368.0;«Рантье»;100000.0;;;1.0;;7511.0;7.45;;0.0;;BBB+;
;AA+(rus);;ruAA+;;Альфа-Банк;1.0;365.0;«Победа»;10000.0;;1.0;;;7656.0;7.4;;0.0;AAA;AAA;
;AA+(rus);;ruAA+;;Альфа-Банк;;365.0;«Премия»;10000.0;;;1.0;;7400.0;7.4;;0.0;AAA;AAA;
;AA-(rus);A1.ru;ruAA;;Связь-Банк;1.0;367.0;«Пополняемый резерв»;50000.0;;;;1.0;7652.0;7.4;1.0;0.0;;;
;;Baa1.ru;;1.0;Росгосстрах Банк;1.0;367.0;«Универсальный»;50000.0;;;1.0;;7646.0;7.35;;0.0;;;A
;;;ruAA-;;Россия;1.0;365.0;«Классический standart»;100000.0;;;1.0;;7603.0;7.35;1.0;0.0;;;A++
;;Baa1.ru;ruA-;;Внешпромбанк;1.0;367.0;«Новый бонусный»;100000.0;;;;1.0;7598.0;7.35;1.0;0.0;AA-;;
;AAA(rus);Aaa.ru;;;Росбанк;1.0;365.0;«Выгодный»;50000.0;;;1.0;;7549.0;7.3;1.0;0.0;;AAA;
;A+(rus);;;1.0;Зенит;1.0;366.0;«Накопительный»;30000.0;;;1.0;;7517.0;7.25;;0.0;;AA-;
;A+(rus);;;1.0;Зенит;1.0;395.0;«Прогрессивный»;30000.0;;;1.0;;8137.0;7.25;;0.0;;AA-;
;;;;1.0;Московский Индустриальный Банк;1.0;366.0;«Универсальный – Телебанк»;100000.0;;;1.0;;7517.0;7.25;;1.0;;;A
;;;;1.0;Московский Индустриальный Банк;1.0;366.0;«Универсальный Кошелек»;100000.0;;;1.0;;7517.0;7.25;;0.0;;;A
;AAA(rus);;;;Нордеа Банк;;365.0;«Доходный»;3000.0;;;1.0;;7200.0;7.2;;0.0;;;
;;A2.ru;ruA;1.0;Петрокоммерц;;360.0;«Оптимум Плюс (с расходом средств 20%)»;30000.0;;1.0;;;7101.0;7.2;;0.0;;AA-;A+
;A+(rus);Aa3.ru;;;Кредит Европа Банк;1.0;368.0;«Растущий Доход»;30000.0;;1.0;;;7269.0;7.02;;0.0;;BBB+;
;;;ruA-;1.0;Уральский Банк Реконструкции и Развития;1.0;360.0;«Управляемый»;1.0;;;1.0;;7127.0;7.0;;0.0;AA;;
;;;;;Московский Индустриальный Банк;1.0;181.0;«Мультивалютный»;10000.0;;1.0;;;7229.0;7.0;1.0;0.0;;;A
;A-(rus);;;;МТС-Банк;1.0;366.0;«Накопительный»;10000.0;;;1.0;;7250.0;7.0;1.0;0.0;;AA-;
;A+(rus);;;;Зенит;;365.0;«Мультивалютный»;15000.0;;1.0;;;7000.0;7.0;1.0;0.0;;AA-;
;AAA(rus);;;;ЮниКредит Банк;1.0;368.0;«Клик Депозит»;15000.0;;;1.0;;7291.0;7.0;1.0;1.0;;;
;AAA(rus);;;;ЮниКредит Банк;1.0;368.0;«Снежный процент»;15000.0;;;1.0;;7291.0;7.0;1.0;1.0;;;
;A-(rus);;;1.0;МТС-Банк;1.0;366.0;«Мобильный»;30000.0;;;1.0;;7250.0;7.0;;0.0;;AA-;
;AAA(rus);;;;Нордеа Банк;;365.0;«Капитал»;3000.0;;1.0;;;6950.0;6.95;;0.0;;;
;AAA(rus);Aaa.ru;;1.0;Россельхозбанк;1.0;365.0;«Управляемый»;100000.0;;;1.0;;7176.0;6.95;;0.0;;;
;A+(rus);;;1.0;Банк «Санкт-Петербург»;1.0;367.0;«Престиж online»;50000.0;;1.0;;;7015.0;6.8;;0.0;;;A++
;;;;1.0;Уралсиб;1.0;367.0;«Бизнес - класс»;100000.0;;1.0;;;7015.0;6.8;;0.0;;AA-;
;A+(rus);Aa3.ru;;;НОМОС-Банк;;365.0;«Номос - мультивалютный»;10000.0;;1.0;;;6750.0;6.75;1.0;1.0;AAA;AA;
;AA+(rus);Aaa.ru;ruAAA;;Газпромбанк;;367.0;«Газпромбанк — Срочный Плюс»;1000.0;;1.0;;;6737.0;6.7;;0.0;;AAA;A++
;AA+(rus);Aaa.ru;ruAAA;;Газпромбанк;;367.0;«Газпромбанк - Прогрессивный»;15000.0;;1.0;;;6737.0;6.7;1.0;0.0;;AAA;A++
;;A2.ru;ruA;1.0;Петрокоммерц;;360.0;«Оптимум Плюс (с расходом средств 50%)»;30000.0;;1.0;;;6608.0;6.7;;0.0;;AA-;A+
;;;ruAAA;;Банк Москвы;1.0;366.0;«Максимальный доход»;1000.0;;;1.0;;6823.0;6.6;;0.0;;AA+;
;AAA(rus);;;;ЮниКредит Банк;1.0;368.0;«Классический»;10000.0;;;1.0;;6861.0;6.6;;0.0;;;
;A(rus);A1.ru;;1.0;РосЕвроБанк;1.0;367.0;«Свободный»;50000.0;;;1.0;;6842.0;6.6;;0.0;AA-;;
;AA-(rus);Aa2.ru;;1.0;ОТП Банк;1.0;366.0;«Гибкий подход»;100000.0;;;1.0;;6823.0;6.6;;0.0;;;
;AAA(rus);Aaa.ru;;;Росбанк;;365.0;«Мультивалютный»;30000.0;;1.0;;;6500.0;6.5;1.0;0.0;;AAA;
;;;ruAA;1.0;Промсвязьбанк;1.0;367.0;«Мои возможности (онлайн)»;50000.0;;;1.0;;6735.0;6.5;;0.0;AA+;AA-;
;;;ruAA-;1.0;Россия;;367.0;«Универсальный стандарт (в конце срока)»;100000.0;;1.0;;;6536.0;6.5;;0.0;;;A++
;AAA(rus);Aaa.ru;;1.0;Росбанк;1.0;366.0;«Эталон Юниор +»;1000.0;;;1.0;;6663.0;6.45;;1.0;;AAA;
;A+(rus);;;1.0;Банк «Санкт-Петербург»;1.0;367.0;«Престиж»;50000.0;;;;1.0;6645.0;6.45;;0.0;;;A++
;AAA(rus);Aaa.ru;;;Сбербанк России;1.0;365.0;«Подари жизнь»;10000.0;;;;1.0;6555.0;6.4;;1.0;;;
;AA+(rus);;ruAA+;;Альфа-Банк;1.0;365.0;«Премьер»;10000.0;;1.0;;;6591.0;6.4;1.0;0.0;AAA;AAA;
;AAA(rus);;;;ЮниКредит Банк;1.0;368.0;«Накопительный»;10000.0;;;1.0;;6647.0;6.4;1.0;0.0;;;
;A+(rus);;;;Банк «Санкт-Петербург»;1.0;367.0;«Тринадцатая зарплата»;3000.0;;;1.0;;6522.0;6.3;1.0;1.0;;;A++
;;Aaa.ru;;;ВТБ 24;;181.0;«Доходный — Телебанк»;10000.0;;1.0;;;6300.0;6.3;;1.0;;AAA;
;AAA(rus);;;;Нордеа Банк;;365.0;«Накопительный»;3000.0;;1.0;;;6200.0;6.2;1.0;0.0;;;
;AAA(rus);;;1.0;ЮниКредит Банк;1.0;368.0;«Универсальный»;10000.0;;;1.0;;6433.0;6.2;;0.0;;;
;;;ruAA;1.0;Промсвязьбанк;1.0;367.0;«Мои возможности»;50000.0;;;1.0;;6415.0;6.2;;0.0;AA+;AA-;
;AAA(rus);Aaa.ru;;;Сбербанк России;1.0;365.0;«Сохраняй Онлайн»;100000.0;;;1.0;;6326.0;6.15;;1.0;;;
;AAA(rus);Aaa.ru;ruAAA;;Райффайзенбанк;1.0;365.0;«Р-Коннект деньги в рост!»;5000.0;;1.0;;;6273.0;6.1;1.0;1.0;;;
;;Aaa.ru;;;ВТБ 24;1.0;395.0;«Целевой — Телебанк»;10000.0;;;1.0;;6806.0;6.1;1.0;1.0;;AAA;
;;;ruAA-;1.0;Россия;;367.0;«Универсальный стандарт (ежемесячно)»;100000.0;;;1.0;;6133.0;6.1;;0.0;;;A++
;;A2.ru;ruA;;Петрокоммерц;;360.0;«Правильный курс»;30000.0;;1.0;;;5967.0;6.05;;0.0;;AA-;A+
;AAA(rus);Aaa.ru;;1.0;Росбанк;;365.0;«Оптимальный»;50000.0;;;1.0;;6050.0;6.05;;0.0;;AAA;
;AA+(rus);Aaa.ru;ruAAA;;Газпромбанк;;367.0;«Газпромбанк — Индивидуальный план»;3000.0;;1.0;;;6033.0;6.0;1.0;0.0;;AAA;A++
;A-(rus);;;;МТС-Банк;;366.0;«Мультивалютный»;30000.0;;1.0;;;6016.0;6.0;1.0;0.0;;AA-;
;;Aa3.ru;ruAA-;;Возрождение;;365.0;«Мультивалютный»;50000.0;;1.0;;;5900.0;5.9;1.0;0.0;;AA;
;AAA(rus);Aaa.ru;;;Сбербанк России;1.0;365.0;«Сохраняй»;100000.0;;;1.0;;6062.0;5.9;;0.0;;;
;AAA(rus);Aaa.ru;;;Сбербанк России;1.0;365.0;«Пополняй Онлайн»;100000.0;;;1.0;;6009.0;5.85;1.0;1.0;;;
;;;ruAAA;1.0;Банк Москвы;1.0;366.0;«Максимальный рост»;1000.0;;;1.0;;5868.0;5.7;;0.0;;AA+;
;AAA(rus);;;1.0;Нордеа Банк;1.0;365.0;«Универсальный»;30000.0;;;;1.0;5823.0;5.7;;0.0;;;
;;Aaa.ru;;1.0;ВТБ 24;1.0;395.0;«Комфортный — Телебанк»;50000.0;;;1.0;;6347.0;5.7;;1.0;;AAA;
;AA+(rus);;ruAA+;;Альфа-Банк;1.0;365.0;«Мультивалютный»;100000.0;;1.0;;;5851.0;5.7;1.0;0.0;AAA;AAA;
;AA+(rus);Aaa.ru;ruAAA;1.0;Газпромбанк;;367.0;«Газпромбанк — Оптимальный»;20000.0;;1.0;;;5681.0;5.65;;0.0;;AAA;A++
;AA+(rus);;ruAA+;1.0;Альфа-Банк;1.0;365.0;«Потенциал»;10000.0;;1.0;;;5746.0;5.6;;0.0;AAA;AAA;
;AAA(rus);Aaa.ru;ruAAA;;Райффайзенбанк;1.0;366.0;«Личный выбор»;15000.0;;;1.0;;5762.0;5.6;1.0;0.0;;;
;AAA(rus);Aaa.ru;ruAAA;;Райффайзенбанк;;366.0;«Мультивалютный»;50000.0;;1.0;;;5615.0;5.6;1.0;0.0;;;
;AAA(rus);Aaa.ru;;;Сбербанк России;1.0;365.0;«Пополняй»;100000.0;;;1.0;;5746.0;5.6;1.0;0.0;;;
;AAA(rus);Aaa.ru;ruAAA;1.0;Райффайзенбанк;;366.0;«Свобода действий»;100000.0;;1.0;;;5615.0;5.6;;0.0;;;
;AA+(rus);Aaa.ru;ruAAA;;Газпромбанк;1.0;367.0;«Газпромбанк — Рантье Плюс»;10000.0;;;1.0;;5726.0;5.55;;0.0;;AAA;A++
;A+(rus);;;1.0;Зенит;1.0;366.0;«Юбилейный»;30000.0;;;1.0;;5657.0;5.5;;0.0;;AA-;
;AAA(rus);;;1.0;Нордеа Банк;1.0;365.0;«Универсальный +»;30000.0;;;;1.0;5562.0;5.45;;0.0;;;
