"MES";"CLIENT";"PROD_TYPE";"COUNT_SKU"
01.04.2012 0:00:00;971;"ยั";3
01.04.2012 0:00:00;5167;"ยั";3
01.04.2012 0:00:00;120;"ยั";5004
01.04.2012 0:00:00;5266;"ฬรา";3368
01.04.2012 0:00:00;5328;"ฬรา";22737
01.04.2012 0:00:00;469031;"สรา";180
01.04.2012 0:00:00;131;"ฬรา";10133
01.04.2012 0:00:00;500070;"ยั";202
01.04.2012 0:00:00;813;"ฬรา";9759
01.04.2012 0:00:00;943;"ยั";21488
01.04.2012 0:00:00;5125;"ยั";37
01.04.2012 0:00:00;5321;"ยั";22
01.04.2012 0:00:00;48;"ยั";103
01.04.2012 0:00:00;224;"ฬรา";8738
01.04.2012 0:00:00;290;"ฬรา";3497
01.04.2012 0:00:00;758;"ฬรา";6696
01.04.2012 0:00:00;815;"ยั";10404
01.04.2012 0:00:00;279;"ยั";3806
01.04.2012 0:00:00;418;"ฬรา";789
01.04.2012 0:00:00;492;"สรา";4227
01.04.2012 0:00:00;469390;"สรา";30
01.04.2012 0:00:00;201;"ยั";10999
01.04.2012 0:00:00;281;"ฬรา";9410
01.04.2012 0:00:00;495;"ฬรา";8020
01.04.2012 0:00:00;914;"ยั";4700
01.04.2012 0:00:00;966;"ฬรา";12226
01.04.2012 0:00:00;5046;"ฬรา";2510
01.04.2012 0:00:00;5118;"ยั";356
01.04.2012 0:00:00;154;"ฬรา";4950
01.04.2012 0:00:00;203;"ยั";2500
01.04.2012 0:00:00;205;"ยั";29
01.04.2012 0:00:00;246;"ยั";5004
01.04.2012 0:00:00;175;"ยั";12860
01.04.2012 0:00:00;911;"ฬรา";3690
01.04.2012 0:00:00;5016;"สรา";1782
01.04.2012 0:00:00;772;"ฬรา";5691
01.04.2012 0:00:00;761;"ยั";64
01.04.2012 0:00:00;5060;"ยั";2004
01.04.2012 0:00:00;935;"ยั";64
01.04.2012 0:00:00;968;"ยั";48
01.04.2012 0:00:00;979;"ยั";3890
01.04.2012 0:00:00;413;"ฬรา";9367
01.04.2012 0:00:00;775;"ยั";8008
01.04.2012 0:00:00;471;"สรา";1172
01.04.2012 0:00:00;478;"ยั";7351
01.04.2012 0:00:00;711;"ฬรา";4402
01.04.2012 0:00:00;5184;"ยั";10017
01.04.2012 0:00:00;5195;"ฬรา";842
01.04.2012 0:00:00;5170;"ฬรา";6873
01.04.2012 0:00:00;144;"สรา";744
01.04.2012 0:00:00;224;"ยั";7207
01.04.2012 0:00:00;730;"ฬรา";18507
01.04.2012 0:00:00;783;"ยั";8807
01.04.2012 0:00:00;5014;"ฬรา";18027
01.04.2012 0:00:00;5067;"ฬรา";1314
01.04.2012 0:00:00;5151;"ยั";554
01.04.2012 0:00:00;781;"ยั";3731
01.04.2012 0:00:00;863;"ยั";32
01.04.2012 0:00:00;935;"ฬรา";8013
01.04.2012 0:00:00;5053;"ยั";21
01.04.2012 0:00:00;5064;"ฬรา";4592
01.04.2012 0:00:00;5093;"ฬรา";4269
01.04.2012 0:00:00;5214;"ยั";22
01.04.2012 0:00:00;5099;"ยั";74
01.04.2012 0:00:00;423;"ยั";13070
01.04.2012 0:00:00;463;"ยั";3804
01.04.2012 0:00:00;706;"ฬรา";20917
01.04.2012 0:00:00;752;"ฬรา";13566
01.04.2012 0:00:00;920;"ฬรา";9135
01.04.2012 0:00:00;5084;"ฬรา";9679
01.04.2012 0:00:00;5122;"ยั";2606
01.04.2012 0:00:00;507656;"ฬรา";477
