id;shop;adress;format;region;city
5297;"5297 Калуга O'S ТЦ ""ТК""";"г. Калуга, ул. Московская, д. 338а, ""Торговый квартал""";O'STIN;Южно-центральный;Калуга
5298;5298 Кузнецк O'S Г-вер;"г. Кузнецк, ул. Белинского, д. 82Б, ТЦ ""Гулливер""";O'STIN;Приволжский;Кузнецк
5299;5299 Кр-знаменск O'S З;г. Краснознаменск, ул. Молодежная, д. 2/1;O'STIN;Московский;Краснознаменск
5300;"5300 Рыбинск O'S ""А-рия""";"г. Рыбинск, ул. Крестовая, д. 109, ТРЦ ""Александрия""";O'STIN;Северо-центральный;Рыбинск
5301;5301 O'S ТЦ Пятое Авеню;"г. Москва, ТЦ ""Пятое Авеню"" ул. Маршала Бирюзова, 32";O'STIN;Московский;Москва
5302;5302 Ковров O'S Треу-ник;"г. Ковров, ул. Ватутина, д. 59, ТЦ ""Треугольник""";O'STIN;Северо-центральный;Ковров
5303;"5303 Калуга O'S ""РИО""";"г. Калуга, ул. Кирова, д. 19, ТЦ ""РИО""";O'STIN;Южно-центральный;Калуга
5304;"5304 Кызылорда O'S ""ЖЖ""";"г. Кызылорда, ул. Байтурсынова, д. 49, ТЦ ""Жибек Жолы""";O'STIN;Казахстанский;Кызылорда
5305;5305 Дмитров СМ «Центр»;"г. Дмитров, ул. Загорская, д. 22, ТЦ ""Центр""";Супермаркет;Центральный;Дмитров
5306;5306 Сочи СМ «More Mall»;"г. Сочи, ул. Новая Заря, д. 7, ТРЦ ""МореМолл""";Гипермаркет;Южный;Сочи
